"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response"
"","","","","","html-keyboard-response","33","1157105","0.0-18.0-0.2-0.2","4600","<p>Do you want the ball to go this way or that way?</p>
      <p style='position: absolute; left: 400px'>This way</p>
      <div style='float: center;'><img src='img/LAMI-kids-start-both-arrows.jpg' width= ""400""></img>
      <p style='position: absolute; left: 1000px; top: 300px'>That way</p>
      </div>","arrowleft"
"","","","","","video-keyboard-response","34","1167118","0.0-18.0-1.2","null","[""video/scorethisway.mp4""]","null"
"","","","","","html-keyboard-response","35","1169123","0.0-18.0-2.2","null","<p>Cause</p>","null"
"","","","","","html-keyboard-response","36","1177782","0.0-18.0-3.2","8658","What made the ball score?<div style='position: absolute; left: 250px'><img src='img/LAMI-kids-ball.png'></img></div>
      <div style='position: absolute; left: 600px; top: 400 px'><img src='img/LAMI-kids-blue.png' width = ""300px""></img></div>
      <div style='position: absolute; left: 600px; bottom: 100 px;'><img src='img/LAMI-kids-pink.png' width = ""300px""></img></div>","arrowleft"
"","","","","","html-keyboard-response","37","1182882","0.0-18.0-0.3-0.3","5098","<p>Do you want the ball to go this way or that way?</p>
      <p style='position: absolute; left: 400px'>This way</p>
      <div style='float: center;'><img src='img/LAMI-kids-start-both-arrows.jpg' width= ""400""></img>
      <p style='position: absolute; left: 1000px; top: 300px'>That way</p>
      </div>","arrowleft"
"","","","","","video-keyboard-response","38","1192893","0.0-18.0-1.3","null","[""video/missthisway.mp4""]","null"
"","","","","","html-keyboard-response","39","1194899","0.0-18.0-2.3","null","<p>Remember</p>","null"
"","","","","","html-keyboard-response","40","1200450","0.0-18.0-3.3","5550","<p>Did you move the ball this way or that way?</p>
      <div style='padding: 20px; float: left;'><img src='img/thisarrow.png'></img></div>
      <div style='padding: 20px; float: right;'><img src='img/thatarrow.png'></img></div>","arrowleft"
"","","","","","html-keyboard-response","41","1204756","0.0-18.0-0.4-0.4","4305","<p>Do you want the ball to go this way or that way?</p>
      <p style='position: absolute; left: 400px'>This way</p>
      <div style='float: center;'><img src='img/LAMI-kids-start-both-arrows.jpg' width= ""400""></img>
      <p style='position: absolute; left: 1000px; top: 300px'>That way</p>
      </div>","arrowright"
"","","","","","video-keyboard-response","42","1214760","0.0-18.0-1.4","null","[""video/scorethatway.mp4""]","null"
"","","","","","html-keyboard-response","43","1216763","0.0-18.0-2.4","null","<p>Remember</p>","null"
"","","","","","html-keyboard-response","44","1222056","0.0-18.0-3.4","5291","<p>Did you move the ball this way or that way?</p>
      <div style='padding: 20px; float: left;'><img src='img/thisarrow.png'></img></div>
      <div style='padding: 20px; float: right;'><img src='img/thatarrow.png'></img></div>","arrowright"
"","","","","","html-keyboard-response","45","1227959","0.0-18.0-0.5-0.5","5902","<p>Do you want the ball to go this way or that way?</p>
      <p style='position: absolute; left: 400px'>This way</p>
      <div style='float: center;'><img src='img/LAMI-kids-start-both-arrows.jpg' width= ""400""></img>
      <p style='position: absolute; left: 1000px; top: 300px'>That way</p>
      </div>","arrowleft"
"","","","","","video-keyboard-response","46","1237979","0.0-18.0-1.5","null","[""video/missthisway.mp4""]","null"
"","","","","","html-keyboard-response","47","1239986","0.0-18.0-2.5","null","<p>Cause</p>","null"
"","","","","","html-keyboard-response","48","1251124","0.0-18.0-3.5","11137","What made the ball miss?<div style='position: absolute; left: 250px'><img src='img/LAMI-kids-ball.png'></img></div>
      <div style='position: absolute; left: 600px; top: 400 px'><img src='img/LAMI-kids-blue.png' width = ""300px""></img></div>
      <div style='position: absolute; left: 600px; bottom: 100 px;'><img src='img/LAMI-kids-pink.png' width = ""300px""></img></div>","arrowright"
"","","","","","html-keyboard-response","49","1256193","0.0-18.0-0.6-0.6","5067","<p>Do you want the ball to go this way or that way?</p>
      <p style='position: absolute; left: 400px'>This way</p>
      <div style='float: center;'><img src='img/LAMI-kids-start-both-arrows.jpg' width= ""400""></img>
      <p style='position: absolute; left: 1000px; top: 300px'>That way</p>
      </div>","arrowright"
"","","","","","video-keyboard-response","50","1266199","0.0-18.0-1.6","null","[""video/scorethatway.mp4""]","null"
"","","","","","html-keyboard-response","51","1268204","0.0-18.0-2.6","null","<p>What If?</p>","null"
"","","","","","html-keyboard-response","52","1275859","0.0-18.0-3.6","7653","Would the ball have scored if you moved this way?<div style='float: center;'><img src='img/thumbsupdown.jpeg'></img></div>
      ","arrowright"
"","","","","","html-keyboard-response","53","1279923","0.0-18.0-0.7-0.7","4064","<p>Do you want the ball to go this way or that way?</p>
      <p style='position: absolute; left: 400px'>This way</p>
      <div style='float: center;'><img src='img/LAMI-kids-start-both-arrows.jpg' width= ""400""></img>
      <p style='position: absolute; left: 1000px; top: 300px'>That way</p>
      </div>","arrowleft"
"","","","","","video-keyboard-response","54","1289934","0.0-18.0-1.7","null","[""video/missthisway.mp4""]","null"
"","","","","","html-keyboard-response","55","1291940","0.0-18.0-2.7","null","<p>Cause</p>","null"
"","","","","","html-keyboard-response","56","1302138","0.0-18.0-3.7","10197","What made the ball miss?<div style='position: absolute; left: 250px'><img src='img/LAMI-kids-ball.png'></img></div>
      <div style='position: absolute; left: 600px; top: 400 px'><img src='img/LAMI-kids-blue.png' width = ""300px""></img></div>
      <div style='position: absolute; left: 600px; bottom: 100 px;'><img src='img/LAMI-kids-pink.png' width = ""300px""></img></div>","arrowleft"
"","","","","","html-keyboard-response","57","1306725","0.0-18.0-0.8-0.8","4586","<p>Do you want the ball to go this way or that way?</p>
      <p style='position: absolute; left: 400px'>This way</p>
      <div style='float: center;'><img src='img/LAMI-kids-start-both-arrows.jpg' width= ""400""></img>
      <p style='position: absolute; left: 1000px; top: 300px'>That way</p>
      </div>","arrowright"
"","","","","","video-keyboard-response","58","1316744","0.0-18.0-1.8","null","[""video/missthatway.mp4""]","null"
"","","","","","html-keyboard-response","59","1318749","0.0-18.0-2.8","null","<p>Remember</p>","null"
"","","","","","html-keyboard-response","60","1323926","0.0-18.0-3.8","5176","<p>Did you move the ball this way or that way?</p>
      <div style='padding: 20px; float: left;'><img src='img/thisarrow.png'></img></div>
      <div style='padding: 20px; float: right;'><img src='img/thatarrow.png'></img></div>","arrowright"
"","","","","","html-keyboard-response","61","1327988","0.0-18.0-0.9-0.9","4062","<p>Do you want the ball to go this way or that way?</p>
      <p style='position: absolute; left: 400px'>This way</p>
      <div style='float: center;'><img src='img/LAMI-kids-start-both-arrows.jpg' width= ""400""></img>
      <p style='position: absolute; left: 1000px; top: 300px'>That way</p>
      </div>","arrowleft"
"","","","","","video-keyboard-response","62","1338004","0.0-18.0-1.9","null","[""video/scorethisway.mp4""]","null"
"","","","","","html-keyboard-response","63","1340011","0.0-18.0-2.9","null","<p>What If?</p>","null"
"","","","","","html-keyboard-response","64","1347322","0.0-18.0-3.9","7309","Would the ball have scored if you moved that way?<div style='float: center;'><img src='img/thumbsupdown.jpeg'></img></div>
      ","arrowright"
"","","","","","html-keyboard-response","65","1352928","0.0-18.0-0.10-0.10","5606","<p>Do you want the ball to go this way or that way?</p>
      <p style='position: absolute; left: 400px'>This way</p>
      <div style='float: center;'><img src='img/LAMI-kids-start-both-arrows.jpg' width= ""400""></img>
      <p style='position: absolute; left: 1000px; top: 300px'>That way</p>
      </div>","arrowleft"
"","","","","","video-keyboard-response","66","1362941","0.0-18.0-1.10","null","[""video/scorethisway.mp4""]","null"
"","","","","","html-keyboard-response","67","1364941","0.0-18.0-2.10","null","<p>Remember</p>","null"
"","","","","","html-keyboard-response","68","1367274","0.0-18.0-3.10","2331","<p>Did you move the ball this way or that way?</p>
      <div style='padding: 20px; float: left;'><img src='img/thisarrow.png'></img></div>
      <div style='padding: 20px; float: right;'><img src='img/thatarrow.png'></img></div>","arrowleft"
"","","","","","html-keyboard-response","69","1369272","0.0-18.0-0.11-0.11","1997","<p>Do you want the ball to go this way or that way?</p>
      <p style='position: absolute; left: 400px'>This way</p>
      <div style='float: center;'><img src='img/LAMI-kids-start-both-arrows.jpg' width= ""400""></img>
      <p style='position: absolute; left: 1000px; top: 300px'>That way</p>
      </div>","arrowright"
"","","","","","video-keyboard-response","70","1379281","0.0-18.0-1.11","null","[""video/missthatway.mp4""]","null"
"","","","","","html-keyboard-response","71","1381287","0.0-18.0-2.11","null","<p>What If?</p>","null"
"","","","","","html-keyboard-response","72","1385566","0.0-18.0-3.11","4279","Would the ball have scored if you moved this way?<div style='float: center;'><img src='img/thumbsupdown.jpeg'></img></div>
      ","arrowleft"
